status,score,title,company,location,rate,c2c,source,url,added
pending,100,2027 Entry Level Software Engineer - Hardware,BAE Systems USA,"San Diego, CA, US",$66017.0-$105628.0/yearly,,indeed,https://www.indeed.com/cmp/BAE-Systems-USA,2026-09-15
pending,100,2027 Entry Level Software Engineer,BAE Systems USA,"San Diego, CA, US",$66017.0-$105628.0/yearly,,indeed,https://www.indeed.com/cmp/BAE-Systems-USA,2026-09-15
pending,97,Full-Stack Java Developer / Consultant,Keyhole Software,"Lenexa, KS, US",$nan-$nan/nan,yes,indeed,https://www.indeed.com/cmp/Keyhole-Software,2026-09-16
pending,93,Java Developer,Capgemini,"Hanover, NH, US",$40.0-$63.0/hourly,,indeed,https://www.indeed.com/cmp/Capgemini,2026-09-16
pending,92,Senior Systems Engineer - TS/SCI,Xcelerate Solutions,"Bethesda, MD, US",$nan-$nan/nan,,indeed,https://www.indeed.com/cmp/Xcelerate-Solutions-5,2026-09-15
pending,87,Full Stack Software Engineer/Developer,CACI International,"Denver, CO, US",$98500.0-$206800.0/yearly,,indeed,https://www.indeed.com/cmp/CACI-International-1,2026-09-15
pending,87,Blockchain Developer,BV Teck,"Remote, US",$140000.0-$200000.0/yearly,,indeed,https://www.indeed.com/cmp/Bv-Teck,2026-09-16
pending,77,Sr QA Automation Developer,"Intertech, Inc","MN, US",$nan-$nan/nan,yes,indeed,"https://www.indeed.com/cmp/Intertech,-Inc",2026-09-14
pending,76,Principal Software Engineer,True Manufacturing,"O'Fallon, MO, US",$nan-$nan/nan,,indeed,https://www.indeed.com/cmp/True-Manufacturing,2026-09-15
pending,75,Sr. Software Engineer – Backend / API Engineering,Ontrac Solutions,"Remote, US",$110.0-$120.0/hourly,,indeed,https://www.indeed.com/cmp/Ontrac-Solutions,2026-09-14
pending,74,Software Engineer III (Java),JPMorganChase,"New York, NY, US",$137750.0-$185000.0/yearly,,indeed,https://www.indeed.com/cmp/Jpmorganchase-2,2026-09-14
pending,74,"Director, Software Engineering",Fidelity Investments,"Covington, KY, US",$nan-$nan/nan,,indeed,https://www.indeed.com/cmp/Fidelity-Investments,2026-09-15
pending,74,Staff Data Platform & Products Architect,Ford Motor Company,"Dearborn, MI, US",$132800.0-$250800.0/yearly,,indeed,https://www.indeed.com/cmp/Ford-Motor-Company,2026-09-15
pending,74,Senior Associate - Python AI Developer,New York Life,"New York, NY, US",$100000.0-$143000.0/yearly,,indeed,https://www.indeed.com/cmp/New-York-Life,2026-09-15
pending,74,Engineering Manager - Global Digital Backend Services,Avis Budget Group,"Parsippany-Troy Hills, NJ, US",$130000.0-$160000.0/yearly,,indeed,https://www.indeed.com/cmp/Avis-Budget-Group,2026-09-16
pending,71,Senior Software Engineer,SquareTrade,"San Francisco, CA, US",$160000.0-$190000.0/yearly,,indeed,https://www.indeed.com/cmp/Squaretrade,2026-09-15
pending,69,Lead Software Engineer (Java and Python) - Enterprise Technology Data Protection & Recovery,JPMorganChase,"Columbus, OH, US",$nan-$nan/nan,,indeed,https://www.indeed.com/cmp/Jpmorganchase-2,2026-09-14
pending,67,Appian Software Developer/Integrator,"Base-2 Solutions, LLC",US,$nan-$nan/nan,,indeed,"https://www.indeed.com/cmp/Base--2-Solutions,-LLC-1",2026-09-14
pending,67,Senior Product Engineer (Java/Spring Boot),Allstate Insurance,"Remote, US",$100000.0-$170500.0/yearly,,indeed,https://www.indeed.com/cmp/Allstate-Insurance,2026-09-15
pending,66,Senior AI Agentic Java Developer,Appzlogic Mobility Solutions Pvt Ltd,"Southlake, TX, US",$60.0-$80.0/hourly,,indeed,https://www.indeed.com/cmp/Appzlogic-Mobility-Solutions-Pvt-Ltd-1,2026-09-15
pending,65,Senior Full-Stack Software Engineer,Crystal Intel,"Tampa, FL, US",$140000.0-$175000.0/yearly,,indeed,https://www.indeed.com/cmp/Crystal-Intel,2026-09-16
pending,65,"Software Engineer IV, Payment Platform",Toshiba Global Commerce Solutions,"Durham, NC, US",$nan-$nan/nan,,indeed,https://www.indeed.com/cmp/Toshiba-Global-Commerce-Solutions-8,2026-09-16
pending,64,Lead Software Engineer-Full Stack,JPMorganChase,"New York, NY, US",$156750.0-$215000.0/yearly,,indeed,https://www.indeed.com/cmp/Jpmorganchase-2,2026-09-14
pending,64,Infrastructure DevOps Software Engineer III,Blue Origin,"Seattle, WA, US",$164652.0-$230512.0/yearly,,indeed,https://www.indeed.com/cmp/Blue-Origin,2026-09-15
pending,64,Software Engineer II- Eng,UKG,"Atlanta, GA, US",$90900.0-$130700.0/yearly,,indeed,https://www.indeed.com/cmp/Ukg-6,2026-09-15
pending,62,"Lead Software Engineer - Java, React, AWS",JPMorganChase,"Jersey City, NJ, US",$156750.0-$215000.0/yearly,,indeed,https://www.indeed.com/cmp/Jpmorganchase-2,2026-09-14
pending,62,Lead Quality Engineer,FHLBank Chicago,"Chicago, IL, US",$108450.0-$180825.0/yearly,,indeed,https://www.indeed.com/cmp/Fhlbank-Chicago-1,2026-09-14
pending,61,Software Engineer,CACI International,"Cary, NC, US",$69100.0-$141500.0/yearly,,indeed,https://www.indeed.com/cmp/CACI-International-1,2026-09-15
pending,60,Senior Java Developer,Sprezzatura Management Consulting,US,$130000.0-$150000.0/yearly,,indeed,https://www.indeed.com/cmp/Sprezzatura-Management-Consulting,2026-09-16
pending,59,Software Development Lead / Architect-6,Realign,"New Castle, DE, US",$nan-$nan/yearly,,indeed,https://www.indeed.com/cmp/Realign,2026-09-14
pending,59,Java Lead/Architect,Realign,"Tampa, FL, US",$nan-$nan/yearly,,indeed,https://www.indeed.com/cmp/Realign,2026-09-14
pending,59,Lead Software Engineer(Java),JPMorganChase,"Plano, TX, US",$nan-$nan/nan,,indeed,https://www.indeed.com/cmp/Jpmorganchase-2,2026-09-14
pending,59,Software Developer 3,Yield Solutions Group LLC,"Centennial, CO, US",$150000.0-$170000.0/yearly,,indeed,https://www.indeed.com/cmp/Yield-Solutions-Group-LLC-1,2026-09-16
pending,57,Senior Lead Software Engineer - Agentic AI/Java/Python,JPMorganChase,"Plano, TX, US",$nan-$nan/nan,,indeed,https://www.indeed.com/cmp/Jpmorganchase-2,2026-09-14
pending,57,Java Developer,Sprezzatura Management Consulting,US,$105000.0-$125000.0/yearly,,indeed,https://www.indeed.com/cmp/Sprezzatura-Management-Consulting,2026-09-14
pending,57,Lead Software Engineer - Agentic AI/Java/Python,JPMorganChase,"Plano, TX, US",$nan-$nan/nan,,indeed,https://www.indeed.com/cmp/Jpmorganchase-2,2026-09-14
pending,57,Lead Software Engineer,JPMorganChase,"Columbus, OH, US",$nan-$nan/nan,,indeed,https://www.indeed.com/cmp/Jpmorganchase-2,2026-09-14
pending,57,Senior Backend Software Engineer (Prime),INTELLIFORCE-IT SOLUTIONS GROUP,"Annapolis Junction, MD, US",$176000.0-$226000.0/yearly,,indeed,https://www.indeed.com/cmp/Intelliforce--it-Solutions-Group,2026-09-16
pending,56,Sr Lead Software Engineer - Platform Engineering,JPMorganChase,"Austin, TX, US",$nan-$nan/nan,,indeed,https://www.indeed.com/cmp/Jpmorganchase-2,2026-09-14
pending,55,Integration Developer,Princeton University,"Princeton, NJ, US",$114000.0-$126000.0/yearly,,indeed,https://www.indeed.com/cmp/Princeton-University,2026-09-14
pending,54,AI/ML Integration Specialist,AVUM,US,$105000.0-$130000.0/yearly,,indeed,https://www.indeed.com/cmp/Avum,2026-09-14
